artist,album,title,duration,playcount,rating,rating_interpretation
"Tool","Ænima","(-) Ions","4:00","1","1","thumbs-down"
"Chet Faker","Built on Glass","/","0:19","21","1","thumbs-down"
"Jeremy Soule","Guild Wars","01 Guild Wars Theme.mp3","1:37","1","0","not-rated"
"Jeremy Soule","Guild Wars","02 Autumn in Ascalon.mp3","2:14","","0","not-rated"
"Jeremy Soule","Guild Wars","03 - Mhenlo's Theme.mp3","1:49","","0","not-rated"
"Jeremy Soule","Guild Wars","04 - Over the Shiverpeaks.mp3","2:19","","0","not-rated"
"Jeremy Soule","Guild Wars","05 - Eye of the Storm.mp3","2:19","","0","not-rated"
"Jeremy Soule","Guild Wars","06 - Prince Rurik's Theme.mp3","0:37","","0","not-rated"
"Jeremy Soule","Guild Wars","07 - Sands of Kryta.mp3","2:21","","0","not-rated"
"Jeremy Soule","Guild Wars","08 - The Door of Komalie.mp3","2:32","","0","not-rated"
"Jeremy Soule","Guild Wars","09 - The Moment of Truth.mp3","2:13","","0","not-rated"
"Jeremy Soule","Guild Wars","10 - Devona's Theme.mp3","1:27","","0","not-rated"
"Mudvayne","Mudvayne","1000 Mile Journey","5:57","4","0","not-rated"
"Tool","10,000 Days","10,000 Days (Wings, Pt. 2)","11:14","2","0","not-rated"
"No Devotion","Permanence","10,000 Summers","4:15","2","undefined","never-rated"
"Evoka","Cries From the Castlegate Empire","1000x's","5:29","3","0","not-rated"
"In This Moment","Blood","11:11","4:51","1","undefined","never-rated"
"Jeremy Soule","Guild Wars","11 - Cynn's Theme.mp3","1:17","","0","not-rated"
"The Strokes","Room On Fire","12:51","2:34","3","5","thumbs-up"
"Jeremy Soule","Guild Wars","12 - Eve's Theme.mp3","1:13","","0","not-rated"
"Superhumanoids","Do You Feel Ok?","12 Fingers","3:22","","undefined","never-rated"
"Davenport Cabinet","Nostalgia In Stereo","12 Hours","2:46","7","undefined","never-rated"
"Mushroomhead","Savior Sorrow","12 Hundred","3:21","","0","not-rated"
"Jeremy Soule","Guild Wars","13 - Abaddon's Mouth.mp3","2:35","","0","not-rated"
"Jeremy Soule","Guild Wars","14 - Crystal Oasis.mp3","2:19","","0","not-rated"
"Jeremy Soule","Guild Wars","15 - Gwen's Theme.mp3","2:47","","0","not-rated"
"Jeremy Soule","Guild Wars","16 - Ashford Abbey.mp3","1:50","","0","not-rated"
"Jeremy Soule","Guild Wars","17 - Aidan's Theme.mp3","1:13","","0","not-rated"
"Jeremy Soule","Guild Wars","18 - Guilds at War.mp3","3:07","","0","not-rated"
"The Dear Hunter","Act I: The Lake South, The River North","1878","7:02","56","5","thumbs-up"
"Jeremy Soule","Guild Wars","19 - Hall of Heroes.mp3","2:31","","0","not-rated"
"Murderdolls","Beyond The Valley Of The Murderdolls","197666","2:19","2","0","not-rated"
"Good Charlotte","Cardiology","1979","3:00","2","0","not-rated"
"Chet Faker","Built on Glass","1998","6:06","19","0","not-rated"
"Linkin Park","Reanimation","1stp Klosr","5:46","7","4",""
"Radiohead","The Best Of [Explicit]","2 + 2 = 5 [Explicit]","3:19","1","0","not-rated"
"Jon Lajoie","You Want Some of This?","E  2 Girls 1 Cup Song","2:43","","undefined","never-rated"
"Robin Thicke","Sex Therapy: The Experience","2 Luv Birds","3:36","2","0","not-rated"
"Jeremy Soule","Guild Wars","20 - The Rift.mp3","2:58","","0","not-rated"
"Jeremy Soule","Guild Wars","21 - Witman's Folly.mp3","1:26","","0","not-rated"
"Coheed & Cambria","In Keeping Secrets Of Silent Earth: 3","2113","9:47","9","0","not-rated"
"Iron Maiden","The Number Of The Beast","22 Acacia Avenue (1998 Digital Remaster)","6:38","2","5","thumbs-up"
"Jeremy Soule","Guild Wars","22 - Tasca's Demise.mp3","2:28","","0","not-rated"
"Jeremy Soule","Guild Wars","23 - Ascension.mp3","2:30","","0","not-rated"
"Jeremy Soule","Guild Wars","24 - Temple of Tolerance.mp3","2:22","","0","not-rated"
"Jeremy Soule","Guild Wars","25 - Althea's Theme.mp3","1:14","","0","not-rated"
"Eminem","Recovery [Explicit]","25 To Life [Explicit]","4:02","2","5","thumbs-up"
"Jeremy Soule","Guild Wars","26 - The Charr.mp3","1:26","","0","not-rated"
"Jeremy Soule","Guild Wars","27 - The Great Northern Wall.mp3","1:04","","0","not-rated"
"Jeremy Soule","Guild Wars","28 - Droknar's Forge.mp3","1:20","","0","not-rated"
"Nero","Welcome Reality","2808","1:54","8","1","thumbs-down"
"Breed 77","The Evil Inside","2Face","4:46","2","0","not-rated"
"A","Teen Dance Ordinance","2nd Coming","4:14","2","0","not-rated"
"Muse","The 2nd Law","The 2nd Law: Isolated System","5:00","3","0","not-rated"
"Muse","The 2nd Law","The 2nd Law: Unsustainable","3:49","3","5","thumbs-up"
"Coheed and Cambria","The Afterman: Descension (Deluxe Edition)","2's My Favourite 1","4:55","19","5","thumbs-up"
"A Perfect Circle","Mer de Noms","3 Libras","3:39","2","undefined","never-rated"
"Adam Monroe","Illusions Fade","3 Libras (A Perfect Circle)","3:34","2","0","not-rated"
"Skindred","Volume","3 Words","4:13","","undefined","never-rated"
"Stone Sour","The Best Of Stone Sour","30/30-150","4:19","7","5","thumbs-up"
"Kanye West","The Life of Pablo","30 Hours","5:15","1","0","not-rated"
"Coheed and Cambria","The Second Stage Turbine Blade","33","3:30","9","0","not-rated"
"Carpenter Brut","EP I","347 Midnight Demons","4:14","1","undefined","never-rated"
"Carpenter Brut","Trilogy","347 Midnight Demons","4:14","2","undefined","never-rated"
"System Of A Down","Steal This Album","36","0:47","1","1","thumbs-down"
"AFI","Decemberunderground","37mm","3:52","8","0","not-rated"
"Tenacious D","Rize of the Fenix","39","5:17","1","0","not-rated"
"Queens of the Stone Age","Era Vulgaris","3's and 7's","3:35","1","0","not-rated"
"Davenport Cabinet","Damned Renegades","41°15'22.0"" N","1:05","3","undefined","never-rated"
"Mushroomhead","XX (UK Version with 2 bonus tracks)","43","4:32","2","0","not-rated"
"Antemasque","ANTEMASQUE","4AM","2:56","3","0","not-rated"
"Deadmau5","4X4=12","4x4=12 (Continuous Mix)","1:09:55","3","0","not-rated"
"Tool","Undertow","4°","6:03","2","0","not-rated"
"Katy B","Little Red","5 AM","3:21","5","undefined","never-rated"
"Netsky","2 Deluxe","500 Days of Summer","4:07","8","undefined","never-rated"
"Antemasque","ANTEMASQUE","50,000 Kilowatts","2:54","1","undefined","never-rated"
"A","Hi-Fi Serious","6 O'Clock On A Tube Stop","3:14","9","4",""
"AFI","Art of Drowning","6 to 8","4:22","3","0","not-rated"
"Davenport Cabinet","Damned Renegades","74°21'31.7"" W","0:29","1","undefined","never-rated"
"Brubeck Brothers","Classified","7th Sense","8:19","","undefined","never-rated"
"Netsky","2","911","3:24","6","0","not-rated"
"Netsky","2 Deluxe","911","3:23","10","undefined","never-rated"
"Robin Thicke","Sex Therapy: The Experience","911","0:23","3","1","thumbs-down"
"Ed Sheeran","+","The A Team","4:19","10","0","not-rated"
"Katy B feat. Jessie Ware","Little Red","Aaliyah","4:38","3","undefined","never-rated"
